"offer_name","price","mileage_km","fuel_type","transmission","engine_capacity","power","country_of_origin","description","vehicle_brand","vehicle_model","color","production_year","seller_name","seller_type","seller_time_on_site","location","weight_kg","power_num","engine_capacity_num","mileage_km_num","weight_kg_num","years","price_num"
"Fiat Ducato","15000","167 083 km","Diesel","Automatyczna","2 198 cm3","74 KM",NA,"Sprzedam Fiat Ducato 2,2 Diesel. Auto w ciągłym użytku. Opony nowe, gotowe do pracy. Posiada normalne ślady użytkowania. Faktura VAT 23%Przebieg 167 tys.Rocznik 2012,Auto można obejrzeć w Markach.Zapraszam na jazdę próbną.","Fiat","Ducato","Biały",2012,"Aleksandra","Osoba prywatna","Sprzedający na OTOMOTO od 2020","Marki, wołomiński, Mazowieckie","1590",74,2198,167083,1590,13,15000
"Mercedes-Benz Sprinter 516","108000","290 000 km","Diesel","Automatyczna","2 143 cm3","160 KM",NA,"Sprinter 516Euro 6Nowe foteleRok produkcji 2015 !Liczba miejsc 20 siedzących + 12 stojącychW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter 516","Niebieski",2016,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,160,2143,290000,NA,9,108000
"DAF LF150 FA","118941","441 012 km","Diesel","Automatyczna","4 500 cm3","112 KM",NA,"NR 115DAF LF 150 FA Chłodnia Carrier Xarrios 600Rok produkcji: 2016Norma EURO: 6Silnik: 4.5 / 112 kmAgregat chłodniczy Xarrios 600Wymiary wnętrza kontenera:długość 4850szerokość 2450wysokość 2200Wszystkie dokumenty przygotowane do rejestracji ( zwolnienia z akcyzy, przegląd, ubezpieczenia, tłumaczenie dowody)Udokumentowany przebieg !Możliwość sprawdzenia samochodu na dowolnej stacji diagnostycznPosiadamy również inne samochody chłodnie, mroźnie, izotermy, kontenery chłodnicze, ramy pod zabudowę, ciężarówkiZapraszamyAleja Krakowska 7Tarczyn 05-555poniedziałku do piątku 8:00-18:00Soboty 9:00-14:00Andrzej Wyświetl numerWiktoria Wyświetl numer","DAF","LF150 FA","Biały",2016,"COOLCARS",NA,"Sprzedający na OTOMOTO od 2024","poniedziałek08:00 - 18:00wtorek08:00 - 18:00środa08:00 - 18:00czwartek08:00 - 18:00piątek08:00 - 18:00sobota08:00 - 16:00niedzielaZamknięteZnajdź na mapieAleja Krakowska 7 - 05-555 Tarczyn, piaseczyński, Mazowieckie (Polska)",NA,112,4500,441012,NA,9,118941
"Mercedes-Benz Sprinter 519","125000","678 000 km","Diesel","Manualna","2 987 cm3","190 KM",NA,"Mercedes-Benz Sprinter 519Stan bardzo dobry20 miejsc z możliwością doposażenia do 24 lub miejsca stojąceW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter 519","Srebrny",2015,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,190,2987,678000,NA,10,125000
"Mercedes-Benz Sprinter 516","69900","250 000 km","Diesel","Automatyczna","2 143 cm3","160 KM",NA,"Mercedes Benz Sprinter 51615+16 miejscBardzo dobry stanW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter 516","Biały",2009,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,160,2143,250000,NA,16,69900
"Mercedes-Benz 614","23500","592 683 km","Diesel","Manualna","4 300 cm3","140 KM",NA,"WitamSprzedam Mercedesa 614 z 2000 roku. Autobus ma 22 miejsca siedzące. Silnik itp w bardzo dobrym stanie, pali na dotyk. Blacharka do drobnych poprawek. Auto było używane na własne potrzeby.Zapraszam do kontaktuFaktura VATkom. Wyświetl numer","Mercedes-Benz","614","Biały",2000,"null","Osoba prywatna","Sprzedający na OTOMOTO od 2019","Żuromin, żuromiński, Mazowieckie","1890",140,4300,592683,1890,25,23500
"Mercedes-Benz Sprinter 519","99900","224 000 km","Diesel","Manualna","2 978 cm3","190 KM",NA,"Mercedes Benz Sprinter 519Rejestracja 24+1 miejscW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter 519","Złoty",2015,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,190,2978,224000,NA,10,99900
"Scania R420","56500","1 490 000 km","Diesel","Automatyczna",NA,NA,NA,"do sprzedania ciągnik siodłowy Scania R420 rok produkcji 2012.pojazd w ciągłej eksploatacjimożliwość obejrzenia Konotopa k. Ożarowa Mazowieckiego","Scania","R420","Żółty",2012,"Stanisław","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Warszawa, Włochy",NA,NA,NA,1490000,NA,13,56500
"MAN L2000","149000","203 000 km","Diesel","Manualna",NA,NA,"Niemcy","do sprzedania podnośnik koszowy MAN L2000 Wumag 27mrok produkcji 1997stan dobry, w ciągłej eksploatacji, badania UDT, przegląd techniczny aktualnewysokość robocza podnośnika 27mnośność kosza 280 kgboczny wysięg roboczy 21mMożliwość obejrzenia Konotopa koło Pruszkowatel. Wyświetl numer","MAN","L2000","Żółty",1997,"Stanisław","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Konotopa, warszawski zachodni, Mazowieckie",NA,NA,NA,203000,NA,28,149000
"Volvo fh540","195000","680 000 km","Diesel",NA,NA,NA,NA,"do sprzedania Ciągnik siodłowy VOLVO 6x4 FH540 120 t uciągu rok 2015, euro 6na zwolnicach, wyposażony w hydraulikę PTOpojazd w ciągłej eksploatacjiMożliwość obejrzenia: Konotopa k. Ożarowa Mazowieckiego","Volvo","fh540","Niebieski",2015,"Stanisław","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Konotopa, warszawski zachodni, Mazowieckie",NA,NA,NA,680000,NA,10,195000
"DAF CF 85","109470","252 166 km","Diesel",NA,NA,"365 KM",NA,"Witam.Do sprzedania oferuję pompogruszkę DAF CF85 z zabudową Schwing Stetter o wysięgu 21m. Pojazd pracował na własne potrzeby. Sterowanie radiowe, pojemność gruszki 7m3. Wszystko sprawne, auto z niezawodnym silnikiem. Zapraszam do kontaktu kom. Wyświetl numer Cena 89 000 zł netto + VAT","DAF","CF 85","Biały",1997,"","Osoba prywatna","Sprzedający na OTOMOTO od 2019","Żuromin, żuromiński, Mazowieckie",NA,365,NA,252166,NA,28,109470
"BMC Midilux L","25000","503 000 km","Diesel","Manualna","4 462 cm3","152 KM",NA,"BMC Midilux LIlosć miejsc 29 siedzących + 8 stojącychW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.8","BMC","Midilux L","Srebrny",2010,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,152,4462,503000,NA,15,25000
"Volvo","43050","1 150 000 km","Diesel","Automatyczna",NA,NA,NA,"do sprzedania rama do zabudowy Volvo FM12, jeździło pod HDS.Przystawka mocy PTO, w ciągłej eksploatacji, nowe tarcze, hamulce, na bieżąco serwisowanystan bardzo dobryMożliwość obejrzenia Konotopa k. Ożarowa Mazowieckiego tel. Wyświetl numer","Volvo","Biały","2004",NA,"Stanisław","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Warszawa, Włochy",NA,NA,NA,1150000,NA,NA,43050
"MAN 32.390 TGA","135300","405 000 km","Diesel","Manualna","1 050 cm3","390 KM","Polska","Witam mam do zaoferowania MAN TGA 32.390 na zabudowie Stetter 9m3wiecej info pod tel.","MAN","32.390 TGA","Biały",2006,"Grzegorz","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Ciechanów, ciechanowski, Mazowieckie",NA,390,1050,405000,NA,19,135300
"Mercedes-Benz Sprinter 519","225000","427 000 km","Diesel","Automatyczna","2 999 cm3","190 KM",NA,"Mercedes Benz Sprinter 51924 miejscaJeden właściciel od nowości W ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter 519","Szary",2017,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,190,2999,427000,NA,8,225000
"MAN TGA","110700","525 800 km","Diesel","Automatyczna",NA,"390 KM","Niemcy","Witam mam do zaoferowania Betonomieszarke Stetter 9m3 na Podwoziu MAN 32:390Auto z Niemiec.Auto w ciągłej eksplatacji.","MAN","TGA","Zielony",2006,"Mariusz","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Ciechanów, ciechanowski, Mazowieckie",NA,390,NA,525800,NA,19,110700
"Mercedes-Benz eSprinter","750000","10 km","Elektryczny","Automatyczna",NA,"210 KM",NA,"Mercedes eSprinter Liczba miejsc 16+10 miejsc stojącychDostępny od rękiW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","eSprinter","Biały",2024,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,210,NA,10,NA,1,750000
"Volvo FH4","158670","834 290 km","Diesel","Automatyczna","13 000 cm3","500 KM",NA,"Mam do sprzedaży ładne volvo fh4 z 2016r, niski przebieg 834290km,bezwypadkowe, kupiony w Polskim salonie,auto dobrze wyposażone, światła ksenonowe, kabina na poduszkach-tył, tachograf cyfrowy ,ogrzewanie postojowe suche-webasto, kierownica wielofunkcyjna, radio fabryczne volvo, cb radio,itd.. założona przystawka do wywrotu w 2023r,oraz kamera do załadunku, auto mogę sprzedać z wywrotką Bodex z 2016r, 39m3, zbożówka, w bardzo dobrym stanie technicznym i wizualnym, nowe opony- apollo,tłok suchy bez wycieków i jakichkolwiek luzów, podłoga ładna, prosta, bez wgniotów, cena za naczepę 115tyś-netto, auto w ciągłej eksploatacji, gwarancja przebiegu, wszystko udokumentowane w serwisie volvo.Auto gotowe do pracy, bez wkładu finansowego, godne polecenia..więcej info pod nr tel- Wyświetl numer.","Volvo","FH4","Niebieski",2016,"Grzegorz","Osoba prywatna","Sprzedający na OTOMOTO od 2024","Żyrardów, żyrardowski, Mazowieckie","18",500,13000,834290,18,9,158670
"Scania P320","166050","98 285 km","Diesel",NA,NA,NA,NA,"Witam,Posiadam do zaoferowania Scanie P320Scania posiada zamontowaną zabudowę napojową oraz windę BAR o udźwigu 2000kgWymiary zabudowy:Długość: 520 cmSzerokość: 245 cmWysokość: 200 cmPrzebieg: 98 285 kmRok: 2015Samochód serwisowany w serwisie ScaniaSamochód sprowadzony z Austrii","Scania","P320","Biały",2015,"RS TRUCKS",NA,"Sprzedający na OTOMOTO od 2020","poniedziałek07:00 - 16:30wtorek07:00 - 16:30środa07:00 - 16:30czwartek07:00 - 16:30piątek07:00 - 16:30sobota07:00 - 14:30niedzielaZamknięteZnajdź na mapieMŁAWSKA 18 - 06540 Radzanów, mławski, Mazowieckie (Polska)",NA,NA,NA,98285,NA,10,166050
"Scania P320","485850","410 000 km","Diesel",NA,NA,NA,NA,"Dzień dobry,Na sprzedaż cysterna do przewozu oleju napędowego Scania P320. Cysterna sprowadzona z Holandii, opłacona, zarejestrowana i ubezpieczona.Specyfikacja:- Scania P320, 320 KM- Rok produkcji: 2015- Przebieg: 410 000 km- Pojemność: 19666 litrów (1. 2070l; 2. 4658; 3. 4658l; 4. 4140l; 5. 4140l)- Typ: Zabudowa LAFON, przewóz oleju napędowego- Dozory: wymaga przygotowania, udostępniamy potrzebne dokumentyCechy:- Euro 6- Automatyczna skrzynia biegów- System wydawania paliwa wysokiej klasy- Bogate wyposażenie: wbudowany system navi, bluetooth, kamera cofania, cruise control, klimatyzacja- Stan techniczny: Bardzo dobry, regularnie serwisowana, gotowa do użytku.Więcej zdjęć/informacji, dokumenty do wglądu na życzenie.Cena: 395 000zł Netto (do negocjacji)Lokalizacja: Nowy Dwór Mazowiecki (stacja paliw Orlen, dokładny adres: Wólka Górska 67, 05-101)Zainteresowanych proszę o kontakt pod numerem telefonu: Wyświetl numer lub e-mail: petroventa@wp.plZapraszam do kontaktu","Scania","P320","Czerwony",2015,"Kajetan","Osoba prywatna","Sprzedający na OTOMOTO od 2024","Nowy Dwór Mazowiecki, nowodworski, Mazowieckie",NA,NA,NA,410000,NA,10,485850
"Mercedes-Benz Sprinter","269000","3 000 km","Elektryczny","Automatyczna",NA,NA,NA,"Mercedes eSprinterLiczba miejsc 18 + 2 miejsca stojąceDostępny od rękiPojazd powystawowy z nową zabudowąRATY 0%W ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter","Srebrny",2020,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,NA,NA,3000,NA,5,269000
"MAN 6.160","419000","10 km","Diesel","Automatyczna",NA,"1 987 KM",NA,"MAN TGE 6.160Liczba miejsc 24W ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","MAN","6.160","Srebrny",2024,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,1987,NA,10,NA,1,419000
"Mercedes-Benz E-Sprinter Mercus","569000","10 km","Elektryczny","Automatyczna",NA,"210 KM",NA,"Premiera nowego miejskiego autobusu elektrycznego marki MercusLiczba miejsc: 20 siedzących + kierowcaMożliwość dołożenia 5 miejsc stojącychPojazd bazowy: Mercedes-Benz E-SprinterSkrzynia: AutomatycznaPojemność Baterii: 113 kWhZasięg: do 450km w cyklu WLTPMoc silnika: 210 kmMaksymalna moc ładowania prądem stałym (DC) to 115 kWW ofercie inne wersje pojazdów elektrycznych z baterią 113kWhpozwalające na pokonanie do 450kmWYPOSAŻENIE WNĘTRZA AUTOBUSU:FOTELE I TAPICERKAFotele INTAP MERCUS SEAT, fotele uchylno-rozsuwne z pasami 3 punktowymiFotele montowane na płaskiej podłodzeTapicerka materiałowa ze skórzanymi wstawkamiKLIMATYZACJAKlimatyzacja pasażerska z dodatkowym panelem słonecznymNiezależna klimatyzacja kierowcySZYBY-PRZESZKLENIE AUTOBUSU• Szyby podwójne-hermetyczne, przyciemnianeWYPOSAŻENI WNĘTRZATapicerka z izolacją termiczną całego pojazduLuk dachowy ( szyberdach )Wykładzina antypoślizgowaOGRZEWANIEWebasto powietrzne działające niezależnie od pracy silnika z dodatkowym zbiornikiemINNEPodwójny, obniżony stopień wejściowyZłącza USB dla wszystkich pasażerówPojazd przedłużanyPojazd posiada pogłębiany bagażnikW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego.","Mercedes-Benz","E-Sprinter Mercus","Biały",2024,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,210,NA,10,NA,1,569000
"MAN TGE","289000","10 km","Elektryczny","Automatyczna",NA,"140 KM",NA,"MAN TGE 100% elektryczny17 miejsc (możliwość wymiany foteli na 20)Przystosowany do przewozu osób niepełnosprawnychW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","MAN","TGE","Szary",2024,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,140,NA,10,NA,1,289000
"MAN TGE 6.180","435000","11 km","Diesel","Automatyczna","1 986 cm3","163 KM",NA,"Man Tge 6.160Liczba miejsc 20+25Dostępny od rękiMożliwość Sprzedaży Ratalnej - RATY 0%W ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","MAN","TGE 6.180","Srebrny",2024,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,163,1986,11,NA,1,435000
"MAN TGE 5.160","349000","10 km","Diesel","Automatyczna","1 968 cm3","163 KM",NA,"Man TGE 5.160Liczba miejsc 21 (możliwość doposażenia w miejsca stojące)W ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","MAN","TGE 5.160","Srebrny",2024,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,163,1968,10,NA,1,349000
"Renault T 440","85000","645 000 km","Diesel","Automatyczna","12 780 cm3",NA,NA,"Renault T440EURO 6Ciężarówka dostępna również w ofercie wynajmu z wykupem, minimalny czynsz miesięczny to 5000 PLN, kaucja 20.000 PLN.W ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Renault","T 440","Biały",2016,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,NA,12780,645000,NA,9,85000
